empirical_id,country,sex,education,class,occupation,language,citizen,q263_empirical,q130_empirical,q121_empirical,q34_empirical,q63_empirical,q263_model,q130_model,thinking,q263_match,q130_match,valid,raw_response,backend,model,temperature,timestamp
1005,Argentina,man,secondary education,lower middle class,skilled worker,Spanish; Castilian,Yes,I am born in this country,Place strict limits on the number of foreigners who can come here,Rather bad,Agree,Trust somewhat,I am born in this country,Place strict limits on the number of foreigners who can come here,"As a skilled worker in the lower middle class in Argentina with secondary education, it is likely that this person is born in Argentina and views immigration with some caution. Economic conditions may influence a preference for limiting immigration, believing that jobs should primarily be available for citizens and existing residents.",True,True,True,"{
  ""thinking"": ""As a skilled worker in the lower middle class in Argentina with secondary education, it is likely that this person is born in Argentina and views immigration with some caution. Economic conditions may influence a preference for limiting immigration, believing that jobs should primarily be available for citizens and existing residents."",
  ""Q263"": ""I am born in this country"",
  ""Q130"": ""Place strict limits on the number of foreigners who can come here""
}",openai,gpt-4o,1.0,2026-05-13T19:32:34.397271
1006,Argentina,woman,secondary education,lower middle class,sales worker,Spanish; Castilian,Yes,I am born in this country,Place strict limits on the number of foreigners who can come here,"Neither good, nor bad",Agree,Trust somewhat,I am born in this country,Let people come as long as there are jobs available,"Living in Argentina, a country with relatively significant immigration patterns, and being from a lower middle-class background, this respondent is likely to have been born in Argentina. Given the economic challenges faced by lower middle-class workers in Argentina and potential concerns about job competition, she might prefer some level of control over immigration to ensure local job availability.",True,False,True,"{
  ""thinking"": ""Living in Argentina, a country with relatively significant immigration patterns, and being from a lower middle-class background, this respondent is likely to have been born in Argentina. Given the economic challenges faced by lower middle-class workers in Argentina and potential concerns about job competition, she might prefer some level of control over immigration to ensure local job availability."",
  ""Q263"": ""I am born in this country"",
  ""Q130"": ""Let people come as long as there are jobs available""
}",openai,gpt-4o,1.0,2026-05-13T19:32:38.281181
1007,Argentina,man,secondary education,lower middle class,skilled worker,Spanish; Castilian,Yes,I am born in this country,Place strict limits on the number of foreigners who can come here,Quite good,Neither agree nor disagree,Don't know,I am born in this country,Place strict limits on the number of foreigners who can come here,"As a man with secondary education, living in Argentina and identifying as lower middle class, it is most likely that he was born in Argentina. Skilled workers in Argentina might feel competition from foreign workers, leading to a preference for stricter immigration controls. Given his social class and occupation, he would likely support placing limits on immigration to protect job opportunities.",True,True,True,"{
  ""thinking"": ""As a man with secondary education, living in Argentina and identifying as lower middle class, it is most likely that he was born in Argentina. Skilled workers in Argentina might feel competition from foreign workers, leading to a preference for stricter immigration controls. Given his social class and occupation, he would likely support placing limits on immigration to protect job opportunities."",
  ""Q263"": ""I am born in this country"",
  ""Q130"": ""Place strict limits on the number of foreigners who can come here""
}",openai,gpt-4o,1.0,2026-05-13T19:32:43.292774
1008,Argentina,woman,secondary education,lower middle class,person who never had a job,Spanish; Castilian,Yes,I am born in this country,Place strict limits on the number of foreigners who can come here,Very good,Agree,Trust somewhat,I am born in this country,Place strict limits on the number of foreigners who can come here,"Given her profile as an Argentine woman with secondary education and lower middle class background, it is likely that she was born in Argentina, as immigration rates in this demographic are lower. Her socioeconomic status and the potential threat of job competition from immigrants may lead her to favor stricter immigration controls, reflecting common views in similar profiles.",True,True,True,"{
  ""thinking"": ""Given her profile as an Argentine woman with secondary education and lower middle class background, it is likely that she was born in Argentina, as immigration rates in this demographic are lower. Her socioeconomic status and the potential threat of job competition from immigrants may lead her to favor stricter immigration controls, reflecting common views in similar profiles."",
  ""Q263"": ""I am born in this country"",
  ""Q130"": ""Place strict limits on the number of foreigners who can come here""
}",openai,gpt-4o,1.0,2026-05-13T19:32:47.108662
1009,Argentina,woman,secondary education,lower middle class,sales worker,Spanish; Castilian,Yes,I am born in this country,Place strict limits on the number of foreigners who can come here,Quite bad,Agree,Trust somewhat,I am born in this country,Place strict limits on the number of foreigners who can come here,"As an Argentine sales worker from the lower middle class with secondary education, it is very likely that I am born in Argentina. People with this background may sometimes prioritize job security and economic stability over immigration, reflecting concerns about competition in the job market, leading to a preference for stricter immigration controls.",True,True,True,"{
  ""thinking"": ""As an Argentine sales worker from the lower middle class with secondary education, it is very likely that I am born in Argentina. People with this background may sometimes prioritize job security and economic stability over immigration, reflecting concerns about competition in the job market, leading to a preference for stricter immigration controls."",
  ""Q263"": ""I am born in this country"",
  ""Q130"": ""Place strict limits on the number of foreigners who can come here""
}",openai,gpt-4o,1.0,2026-05-13T19:32:50.320663
1010,Argentina,woman,secondary education,lower middle class,unskilled worker,Spanish; Castilian,Yes,I am born in this country,Place strict limits on the number of foreigners who can come here,"Neither good, nor bad",Disagree,Trust somewhat,I am born in this country,Place strict limits on the number of foreigners who can come here,"Given her profile as a woman from the lower middle class in Argentina with secondary education working as an unskilled worker, it is likely she was born in the country. Concerns about job competition may lead her to prefer stricter immigration controls, as opportunities are limited in unskilled sectors, potentially affecting her and her community.",True,True,True,"{
  ""thinking"": ""Given her profile as a woman from the lower middle class in Argentina with secondary education working as an unskilled worker, it is likely she was born in the country. Concerns about job competition may lead her to prefer stricter immigration controls, as opportunities are limited in unskilled sectors, potentially affecting her and her community."",
  ""Q263"": ""I am born in this country"",
  ""Q130"": ""Place strict limits on the number of foreigners who can come here""
}",openai,gpt-4o,1.0,2026-05-13T19:32:53.450311
1011,Argentina,man,secondary education,lower middle class,semi-skilled worker,Spanish; Castilian,Yes,I am born in this country,Place strict limits on the number of foreigners who can come here,Rather bad,Agree,Do not trust very much,I am born in this country,Place strict limits on the number of foreigners who can come here,"As a man with secondary education working in a semi-skilled job from a lower middle class in Argentina, it is likely that he was born in the country, given the majority of the population are native-born. People from his background often feel economic pressures and job competition, which likely leads to more restrictive views on immigration. Hence, he might prefer limiting the number of foreigners entering the job market.",True,True,True,"{
  ""thinking"": ""As a man with secondary education working in a semi-skilled job from a lower middle class in Argentina, it is likely that he was born in the country, given the majority of the population are native-born. People from his background often feel economic pressures and job competition, which likely leads to more restrictive views on immigration. Hence, he might prefer limiting the number of foreigners entering the job market."",
  ""Q263"": ""I am born in this country"",
  ""Q130"": ""Place strict limits on the number of foreigners who can come here""
}",openai,gpt-4o,1.0,2026-05-13T19:32:59.308101
1012,Argentina,woman,secondary education,lower middle class,unskilled worker,Spanish; Castilian,No,I am an immigrant to this country (born outside this country),Place strict limits on the number of foreigners who can come here,"Neither good, nor bad",Agree,Trust somewhat,I am born in this country,Let people come as long as there are jobs available,"As a woman from the lower middle class with secondary education working in an unskilled job in Argentina, it's likely she would have been born in the country. She might feel that job opportunities are limited and competitive, which can lead to a cautious view on immigration, balancing concern for job availability with openness to immigration.",False,False,True,"{
  ""thinking"": ""As a woman from the lower middle class with secondary education working in an unskilled job in Argentina, it's likely she would have been born in the country. She might feel that job opportunities are limited and competitive, which can lead to a cautious view on immigration, balancing concern for job availability with openness to immigration."",
  ""Q263"": ""I am born in this country"",
  ""Q130"": ""Let people come as long as there are jobs available""
}",openai,gpt-4o,1.0,2026-05-13T19:33:02.389883
1013,Argentina,man,secondary education,lower middle class,semi-skilled worker,Spanish; Castilian,Yes,I am born in this country,Place strict limits on the number of foreigners who can come here,"Neither good, nor bad",Agree,Trust completely,I am born in this country,Place strict limits on the number of foreigners who can come here,"The respondent is likely to be born in Argentina due to the high percentage of native-born residents, especially among lower middle class, semi-skilled workers with secondary education. Given the economic challenges and job competition in Argentina, particularly for lower middle class workers, he might prefer placing limits on immigration to protect job opportunities for locals.",True,True,True,"{
  ""thinking"": ""The respondent is likely to be born in Argentina due to the high percentage of native-born residents, especially among lower middle class, semi-skilled workers with secondary education. Given the economic challenges and job competition in Argentina, particularly for lower middle class workers, he might prefer placing limits on immigration to protect job opportunities for locals."",
  ""Q263"": ""I am born in this country"",
  ""Q130"": ""Place strict limits on the number of foreigners who can come here""
}",openai,gpt-4o,1.0,2026-05-13T19:33:06.371116
1014,Argentina,man,secondary education,lower middle class,semi-skilled worker,Spanish; Castilian,Yes,I am born in this country,Let anyone come who wants to,"Neither good, nor bad",Disagree,Trust completely,I am born in this country,Place strict limits on the number of foreigners who can come here,"Given that this person is a semi-skilled worker from Argentina with a lower middle class status and secondary education, it is likely that he is born in Argentina since migration for work is less common among this demographic. Concerns about job competition might lead him to prefer some restrictions on immigration, particularly to ensure availability of jobs for locals.",True,False,True,"{
  ""thinking"": ""Given that this person is a semi-skilled worker from Argentina with a lower middle class status and secondary education, it is likely that he is born in Argentina since migration for work is less common among this demographic. Concerns about job competition might lead him to prefer some restrictions on immigration, particularly to ensure availability of jobs for locals."",
  ""Q263"": ""I am born in this country"",
  ""Q130"": ""Place strict limits on the number of foreigners who can come here""
}",openai,gpt-4o,1.0,2026-05-13T19:33:11.910551
