empirical_id,country,question,sex,education,class,occupation,political_ident,empirical,model,thinking,match,valid,raw_response,backend,model_name,temperature,timestamp
1005,Argentina,Q130,man,secondary education,lower middle class,skilled worker,center,Place strict limits on the number of foreigners who can come here,Let people come as long as there are jobs available,"I think it's okay for foreigners to come if there's work for them, because that way they don't take jobs away from locals like me. I wouldn't say we should let anyone come without limits, as that could overwhelm the job market. I also don't support strict caps or a total ban, since that seems too harsh and could hurt the economy. So the middle-ground option of allowing people to come only when jobs are available fits my centrist view.",False,True,"{
  ""thinking"": ""I think it's okay for foreigners to come if there's work for them, because that way they don't take jobs away from locals like me. I wouldn't say we should let anyone come without limits, as that could overwhelm the job market. I also don't support strict caps or a total ban, since that seems too harsh and could hurt the economy. So the middle-ground option of allowing people to come only when jobs are available fits my centrist view."",
  ""Q130"": ""Let people come as long as there are jobs available""
}",ollama,gpt-oss:120B,1.0,2026-05-18T13:16:38.827819
1007,Argentina,Q130,man,secondary education,lower middle class,skilled worker,center-right,Place strict limits on the number of foreigners who can come here,Let people come as long as there are jobs available,I think letting anyone come who wants to is too open and could threaten my job prospects. Prohibiting all immigration is too extreme. Strict limits might be unnecessary if the labor market can absorb workers. Allowing people to come only if there are jobs available protects my interests while still meeting labor needs.,False,True,"{
  ""thinking"": ""I think letting anyone come who wants to is too open and could threaten my job prospects. Prohibiting all immigration is too extreme. Strict limits might be unnecessary if the labor market can absorb workers. Allowing people to come only if there are jobs available protects my interests while still meeting labor needs."",
  ""Q130"": ""Let people come as long as there are jobs available""
}",ollama,gpt-oss:120B,1.0,2026-05-18T13:16:40.798828
1008,Argentina,Q130,woman,secondary education,lower middle class,person who never had a job,center,Place strict limits on the number of foreigners who can come here,Let people come as long as there are jobs available,I think letting anyone come who wants to could flood the job market and make it harder for locals like me to find work. Completely prohibiting immigration is too extreme and doesn't reflect a balanced view. Strict limits feel overly restrictive and might harm the economy. Allowing people to come only if there are jobs available seems fair—it protects local employment while still letting needed workers enter.,False,True,"{
  ""thinking"": ""I think letting anyone come who wants to could flood the job market and make it harder for locals like me to find work. Completely prohibiting immigration is too extreme and doesn't reflect a balanced view. Strict limits feel overly restrictive and might harm the economy. Allowing people to come only if there are jobs available seems fair—it protects local employment while still letting needed workers enter."",
  ""Q130"": ""Let people come as long as there are jobs available""
}",ollama,gpt-oss:120B,1.0,2026-05-18T13:16:43.105288
1010,Argentina,Q130,woman,secondary education,lower middle class,unskilled worker,far-right,Place strict limits on the number of foreigners who can come here,Place strict limits on the number of foreigners who can come here,"I don't want unrestricted immigration because it could threaten jobs and cultural identity. Even if jobs exist, I distrust foreigners and prefer the government to control numbers. A total ban feels too extreme; strict limits align with my far‑right, nationalist stance.",True,True,"{
  ""thinking"": ""I don't want unrestricted immigration because it could threaten jobs and cultural identity. Even if jobs exist, I distrust foreigners and prefer the government to control numbers. A total ban feels too extreme; strict limits align with my far‑right, nationalist stance."",
  ""Q130"": ""Place strict limits on the number of foreigners who can come here""
}",ollama,gpt-oss:120B,1.0,2026-05-18T13:16:45.522747
1011,Argentina,Q130,man,secondary education,lower middle class,semi-skilled worker,far-right,Place strict limits on the number of foreigners who can come here,Place strict limits on the number of foreigners who can come here,"Let anyone come who wants to – I would reject this because I worry about job competition and cultural change. Let people come as long as there are jobs available – seems too open; jobs are scarce for people like me. Place strict limits on the number of foreigners who can come here – aligns with my nationalist, far‑right view and protects my job prospects. Prohibit people coming here from other countries – too extreme, I’d still allow some controlled immigration. Therefore the strict‑limit option is most likely.",True,True,"{
  ""thinking"": ""Let anyone come who wants to – I would reject this because I worry about job competition and cultural change. Let people come as long as there are jobs available – seems too open; jobs are scarce for people like me. Place strict limits on the number of foreigners who can come here – aligns with my nationalist, far‑right view and protects my job prospects. Prohibit people coming here from other countries – too extreme, I’d still allow some controlled immigration. Therefore the strict‑limit option is most likely."",
  ""Q130"": ""Place strict limits on the number of foreigners who can come here""
}",ollama,gpt-oss:120B,1.0,2026-05-18T13:16:47.318384
1012,Argentina,Q130,woman,secondary education,lower middle class,unskilled worker,center,Place strict limits on the number of foreigners who can come here,Let people come as long as there are jobs available,"I need a job, so I don't want more competition unless there are enough jobs. I wouldn't support open borders or bans, and I think strict limits are unnecessary if the labor market can absorb workers.",False,True,"{
  ""thinking"": ""I need a job, so I don't want more competition unless there are enough jobs. I wouldn't support open borders or bans, and I think strict limits are unnecessary if the labor market can absorb workers."",
  ""Q130"": ""Let people come as long as there are jobs available""
}",ollama,gpt-oss:120B,1.0,2026-05-18T13:16:49.134326
1013,Argentina,Q130,man,secondary education,lower middle class,semi-skilled worker,center,Place strict limits on the number of foreigners who can come here,Let people come as long as there are jobs available,"I think letting anyone come who wants to would flood the labor market and hurt my job prospects, so I wouldn't support that. Allowing people to come only if there are jobs available seems fair: it lets needed workers fill openings without taking jobs from locals like me. Placing strict limits feels too restrictive and could block needed labor. Prohibiting all immigration is extreme and would hurt the economy. So the most balanced view for me is to let people come as long as there are jobs available.",False,True,"{
  ""thinking"": ""I think letting anyone come who wants to would flood the labor market and hurt my job prospects, so I wouldn't support that. Allowing people to come only if there are jobs available seems fair: it lets needed workers fill openings without taking jobs from locals like me. Placing strict limits feels too restrictive and could block needed labor. Prohibiting all immigration is extreme and would hurt the economy. So the most balanced view for me is to let people come as long as there are jobs available."",
  ""Q130"": ""Let people come as long as there are jobs available""
}",ollama,gpt-oss:120B,1.0,2026-05-18T13:16:51.238204
1014,Argentina,Q130,man,secondary education,lower middle class,semi-skilled worker,center,Let anyone come who wants to,Let people come as long as there are jobs available,"I think anyone should not just come without regard to the impact on local jobs, so 'Let anyone come who wants to' seems too open. I support foreigners coming only if there are jobs, because I don't want competition for the limited work I have, but I also recognize that some sectors need labor, so 'Let people come as long as there are jobs available' feels fair. Placing strict limits would be too restrictive and might hurt the economy, and prohibiting all immigration is extreme and unrealistic. Therefore, the conditional option aligns best with my center, practical view.",False,True,"{
  ""thinking"": ""I think anyone should not just come without regard to the impact on local jobs, so 'Let anyone come who wants to' seems too open. I support foreigners coming only if there are jobs, because I don't want competition for the limited work I have, but I also recognize that some sectors need labor, so 'Let people come as long as there are jobs available' feels fair. Placing strict limits would be too restrictive and might hurt the economy, and prohibiting all immigration is extreme and unrealistic. Therefore, the conditional option aligns best with my center, practical view."",
  ""Q130"": ""Let people come as long as there are jobs available""
}",ollama,gpt-oss:120B,1.0,2026-05-18T13:16:53.187229
1015,Argentina,Q130,woman,secondary education,working class,person who never had a job,far-right,Place strict limits on the number of foreigners who can come here,Place strict limits on the number of foreigners who can come here,"I think foreigners should be limited because they could take the few jobs that exist, and as a far‑right, nationalist Argentine I want to protect our own people. I wouldn't let anyone come just because they want to, nor only if jobs exist, and I don't go as far as a total ban, but I want strict limits.",True,True,"{
  ""thinking"": ""I think foreigners should be limited because they could take the few jobs that exist, and as a far‑right, nationalist Argentine I want to protect our own people. I wouldn't let anyone come just because they want to, nor only if jobs exist, and I don't go as far as a total ban, but I want strict limits."",
  ""Q130"": ""Place strict limits on the number of foreigners who can come here""
}",ollama,gpt-oss:120B,1.0,2026-05-18T13:16:54.963696
1016,Argentina,Q130,man,higher education,working class,sales worker,center-left,Place strict limits on the number of foreigners who can come here,Let people come as long as there are jobs available,"I believe the government should allow immigrants to work, but I’m concerned about protecting jobs for locals. As a center‑left working‑class person, I support inclusion and fairness, yet I think it’s reasonable to ensure there are enough jobs before letting more people in. I wouldn’t ban immigration entirely or set arbitrary strict caps, nor would I open the doors to anyone regardless of economic impact.",False,True,"{
  ""thinking"": ""I believe the government should allow immigrants to work, but I’m concerned about protecting jobs for locals. As a center‑left working‑class person, I support inclusion and fairness, yet I think it’s reasonable to ensure there are enough jobs before letting more people in. I wouldn’t ban immigration entirely or set arbitrary strict caps, nor would I open the doors to anyone regardless of economic impact."",
  ""Q130"": ""Let people come as long as there are jobs available""
}",ollama,gpt-oss:120B,1.0,2026-05-18T13:16:56.864721
